stichtag,direktion_code,direktion_name,amt_bereich_code,amt_bereich_name,indikator,wert,einheit,anmerkung_1,anmerkung_2
2020-12-31,2,"Direktion der Justiz und des Innern",2241,"Fachstelle Integration","Maenner",3,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2251,"Bezirksraete","Frauen",56,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2251,"Bezirksraete","Maenner",9,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2261,"Statthalteraemter","Frauen",70,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2261,"Statthalteraemter","Maenner",32,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,3,"Sicherheitsdirektion",3000,"Generalsekretariat Zentrale Vollzugsaufgaben und Rekursabteilung","Frauen",50,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,3,"Sicherheitsdirektion",3000,"Generalsekretariat Zentrale Vollzugsaufgaben und Rekursabteilung","Maenner",23,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,3,"Sicherheitsdirektion",3100,"Kantonspolizei","Frauen",1330,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,3,"Sicherheitsdirektion",3100,"Kantonspolizei","Maenner",2609,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,3,"Sicherheitsdirektion",3200,"Strassenverkehrsamt","Frauen",171,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,3,"Sicherheitsdirektion",3200,"Strassenverkehrsamt","Maenner",263,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,3,"Sicherheitsdirektion",3300,"Migrationsamt","Frauen",121,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,3,"Sicherheitsdirektion",3300,"Migrationsamt","Maenner",65,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,3,"Sicherheitsdirektion",3400,"Amt fuer Militaer und Zivilschutz","Frauen",42,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,3,"Sicherheitsdirektion",3400,"Amt fuer Militaer und Zivilschutz","Maenner",96,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,3,"Sicherheitsdirektion",3500,"Sozialamt","Frauen",141,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,3,"Sicherheitsdirektion",3500,"Sozialamt","Maenner",104,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,3,"Sicherheitsdirektion",3700,"Sportamt","Frauen",13,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,3,"Sicherheitsdirektion",3700,"Sportamt","Maenner",8,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,4,"Finanzdirektion",4000,"Generalsekretariat","Frauen",7,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,4,"Finanzdirektion",4000,"Generalsekretariat","Maenner",11,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,4,"Finanzdirektion",4100,"Finanzverwaltung","Frauen",32,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,4,"Finanzdirektion",4100,"Finanzverwaltung","Maenner",24,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,4,"Finanzdirektion",4400,"Steuern Betriebsteil","Frauen",390,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,4,"Finanzdirektion",4400,"Steuern Betriebsteil","Maenner",410,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,4,"Finanzdirektion",4500,"Personalamt","Frauen",44,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,4,"Finanzdirektion",4500,"Personalamt","Maenner",13,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,4,"Finanzdirektion",4610,"Amt fuer Informatik","Frauen",30,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,4,"Finanzdirektion",4610,"Amt fuer Informatik","Maenner",90,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,4,"Finanzdirektion",4700,"Drucksachen und Material","Frauen",8,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,4,"Finanzdirektion",4700,"Drucksachen und Material","Maenner",30,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,5,"Volkswirtschaftsdirektion",5000,"Generalsekretariat","Frauen",13,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,5,"Volkswirtschaftsdirektion",5000,"Generalsekretariat","Maenner",6,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,5,"Volkswirtschaftsdirektion",5205,"Amt fuer Mobilitaet","Frauen",23,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,5,"Volkswirtschaftsdirektion",5205,"Amt fuer Mobilitaet","Maenner",36,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,5,"Volkswirtschaftsdirektion",5300,"Amt fuer Wirtschaft und Arbeit","Frauen",527,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,5,"Volkswirtschaftsdirektion",5300,"Amt fuer Wirtschaft und Arbeit","Maenner",382,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,6,"Gesundheitsdirektion",6000,"Steuerung Gesundheitsversorgung"" ","Frauen",92,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,6,"Gesundheitsdirektion",6000,"Steuerung Gesundheitsversorgung"" ","Maenner",54,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,6,"Gesundheitsdirektion",6100,"Aufsicht und Bewilligungen im Gesundheitswesen","Frauen",104,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,6,"Gesundheitsdirektion",6100,"Aufsicht und Bewilligungen im Gesundheitswesen","Maenner",85,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,6,"Gesundheitsdirektion",6150,"Arzneimittelversorgung","Frauen",102,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,6,"Gesundheitsdirektion",6150,"Arzneimittelversorgung","Maenner",54,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,7,"Bildungsdirektion",7000,"Bildungsverwaltung","Frauen",287,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,7,"Bildungsdirektion",7000,"Bildungsverwaltung","Maenner",129,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,7,"Bildungsdirektion",7100,"Lehrmittelverlag","Frauen",41,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,7,"Bildungsdirektion",7100,"Lehrmittelverlag","Maenner",26,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,7,"Bildungsdirektion",7200,"Volksschule, inkl. Vikare","Frauen",14281,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,7,"Bildungsdirektion",7200,"Volksschule, inkl. Vikare","Maenner",3743,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,7,"Bildungsdirektion",7301,"Mittelschulen","Frauen",1733,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,7,"Bildungsdirektion",7301,"Mittelschulen","Maenner",1443,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,7,"Bildungsdirektion",7306,"Berufsbildung","Frauen",1360,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,7,"Bildungsdirektion",7306,"Berufsbildung","Maenner",1546,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,7,"Bildungsdirektion",7501,"Kinder- und Jugendhilfe","Frauen",676,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,7,"Bildungsdirektion",7501,"Kinder- und Jugendhilfe","Maenner",118,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,7,"Bildungsdirektion",7502,"Berufs- und Studien- und Laufbahnberatung","Frauen",128,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,7,"Bildungsdirektion",7502,"Berufs- und Studien- und Laufbahnberatung","Maenner",41,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,8,"Baudirektion",8000,"Generalsekretariat","Frauen",47,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,8,"Baudirektion",8000,"Generalsekretariat","Maenner",39,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,8,"Baudirektion",8100,"Hochbauamt","Frauen",50,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,8,"Baudirektion",8100,"Hochbauamt","Maenner",88,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,8,"Baudirektion",8300,"Amt fuer Raumentwicklung","Frauen",71,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,8,"Baudirektion",8300,"Amt fuer Raumentwicklung","Maenner",89,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,8,"Baudirektion",8400,"Tiefbauamt","Frauen",47,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,8,"Baudirektion",8400,"Tiefbauamt","Maenner",436,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,8,"Baudirektion",8500,"Amt fuer Abfall, Wasser, Energie und Luft","Frauen",91,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,8,"Baudirektion",8500,"Amt fuer Abfall, Wasser, Energie und Luft","Maenner",186,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,8,"Baudirektion",8700,"Immobilienamt","Frauen",53,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,8,"Baudirektion",8700,"Immobilienamt","Maenner",108,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,8,"Baudirektion",8800,"Amt fuer Landschaft und Natur","Frauen",264,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,8,"Baudirektion",8800,"Amt fuer Landschaft und Natur","Maenner",272,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,1,"Regierungsrat und Staatskanzlei",1000,"Regierungsrat und Staatskanzlei","Frauen",39,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,1,"Regierungsrat und Staatskanzlei",1000,"Regierungsrat und Staatskanzlei","Maenner",61,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2201,"Generalsekretariat","Frauen",48,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2201,"Generalsekretariat","Maenner",52,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2204,"Staatsanwaltschaft","Frauen",64,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2204,"Staatsanwaltschaft","Maenner",36,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2205,"Jugendstrafrechtspflege","Frauen",67,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2205,"Jugendstrafrechtspflege","Maenner",33,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2206,"Justizvollzug und Wiedereingliederung","Frauen",38,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2206,"Justizvollzug und Wiedereingliederung","Maenner",62,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2207,"Gemeindeamt","Frauen",64,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2207,"Gemeindeamt","Maenner",36,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2221,"Handelsregisteramt","Frauen",70,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2221,"Handelsregisteramt","Maenner",30,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2223,"Statistisches Amt","Frauen",26,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2223,"Statistisches Amt","Maenner",74,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2224,"Staatsarchiv","Frauen",56,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2224,"Staatsarchiv","Maenner",44,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2232,"Kantonale Opferhilfestelle","Frauen",100,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2232,"Kantonale Opferhilfestelle","Maenner",0,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2233,"Fachstelle Gleichstellung","Frauen",60,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2233,"Fachstelle Gleichstellung","Maenner",40,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2234,"Fachstelle Kultur","Frauen",75,"Prozent","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
